Title,Level,Taxon,Document_Type,Size,Creator,Date_of_creation,area,Access,Copyright_holder,Archive_name,Storage_location
"Byton, plan of encroachments on Combes moor",item,"Byton, plan of enc…",map,1,,[1825-1875],Herefordshire,,Herefordshire Archive and Records Centre,GB 46,Physical
"Mapledurham Chazey Manor, maps (2)",item,Mapledurham Chazey…,map,2,,[1722-1723],,,"Collection held Privately, enquiries to the National Archives, Archive Sector Development",,Physical
"Records of Sunday School, Adult School and Junior Church",item,Records of Sunday…,records,,,,Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Ellenglaze manor, map, with other manors",item,"Ellenglaze manor,…",map,1,,[1694-1699],,,Collection held privately: enquiries to Archives & Cornish Studies Service (formerly Cornwall RO),GB 805136,Physical
"Hornblotton manor, map",item,"Hornblotton manor,…",map,1,,1804,,,Somerset Heritage Centre (South West Heritage Trust),GB 168,Physical
Stationery,item,Stationery,records,,,[1957-1994],Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Documents re W.Smethwick Congregational Church, Oldbury Rd, Smethwick",item,Documents re W.Sme…,records,,,[1782-1983],Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Redfen manor, map, with parts of Kenilworth",item,"Redfen manor, map,…",map,1,,1692,Warwickshire,,Warwickshire County Record Office,GB 187,Physical
"Misson manor, survey map of Misson Commons",item,"Misson manor, surv…",map,1,,1629,Nottinghamshire,,Nottinghamshire Archives,GB 157,Physical
Rough drawings and working papers,item,Rough drawings and…,"drawings, papers",,,,Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
Mixed school,item,Mixed school,"photographs, records",,,[1874-1992],Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Robert Cameron & Co Ltd, coal contractors and shippers, papers",item,Robert Cameron & C…,Papers,,,[1870-1958],Glasgow,,Glasgow University Archive Services,GB 248,Physical
Milton Keynes Borough Guide,item,Milton Keynes Boro…,guide,1,,1986,Milton Keynes,,,GB 8,Physical
Milton Keynes Development Corporation: licensed premises committees; correspondence and,item,Milton Keynes Deve…,Papers,,,[1972-1973],Milton Keynes,Open,,GB 66,Physical
collected and published material rel to Milton Keynes development,item,collected and publ…,,,,[1967-1978],Milton Keynes,,Museum of English Rural Life,GB 7,Physical
"MIlton Keynes, a village city",item,"MIlton Keynes, a v…",,1,,1974,Milton Keynes,Open,,GB 66,Physical
Promotional Material relating to Milton Keynes,item,Promotional Materi…,,,,[1970-1979],Milton Keynes,,,GB 7,Physical
